기준일ID,시간대구분,자치구코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20181201,2,11590 ,440043 ,13839 ,6502 ,10393 ,20372 ,23112 ,18800 ,17670 ,15797 ,15576 ,12837 ,13298 ,12004 ,8951 ,20356 ,14470 ,6571 ,10319 ,21724 ,20522 ,17965 ,17400 ,15349 ,15133 ,14293 ,17033 ,15433 ,12231 ,32091 
20181201,2,11620 ,554091 ,13731 ,6678 ,11830 ,25976 ,38813 ,30999 ,25175 ,20747 ,19893 ,15368 ,15527 ,13117 ,11224 ,22619 ,13649 ,6554 ,11640 ,29965 ,35095 ,26036 ,21710 ,17824 ,17669 ,16444 ,19446 ,17394 ,14730 ,34239 
20181201,2,11650 ,510897 ,17094 ,9614 ,12913 ,15628 ,18458 ,19393 ,22645 ,22363 ,24508 ,18016 ,16166 ,13837 ,10860 ,22293 ,18220 ,10312 ,13699 ,17015 ,19775 ,20578 ,23391 ,22210 ,22336 ,16993 ,17595 ,17261 ,13894 ,33829 
20181201,2,11680 ,672335 ,20180 ,13009 ,19527 ,20402 ,26537 ,28292 ,32043 ,30764 ,32702 ,23852 ,20187 ,16631 ,13315 ,27393 ,20187 ,12747 ,18962 ,24010 ,30052 ,29924 ,30940 ,28946 ,29742 ,21626 ,21688 ,20932 ,17128 ,40616 
20181201,2,11710 ,755350 ,28671 ,14743 ,20269 ,21234 ,25458 ,29289 ,33885 ,30666 ,30468 ,26143 ,26399 ,22466 ,17321 ,29779 ,28609 ,14861 ,18931 ,22225 ,29282 ,32715 ,35021 ,29877 ,31497 ,28100 ,31171 ,28710 ,20695 ,46866 
20181201,2,11740 ,515065 ,20684 ,11002 ,14881 ,14341 ,16606 ,17172 ,21100 ,19394 ,21194 ,17998 ,19560 ,16535 ,12503 ,22875 ,18495 ,9626 ,12766 ,15083 ,17269 ,18597 ,21579 ,19962 ,21816 ,19867 ,23309 ,21006 ,15466 ,34379 
20181201,3,11110 ,229750 ,4954 ,2954 ,5694 ,10977 ,10666 ,8534 ,8757 ,8309 ,10068 ,8250 ,8678 ,7095 ,4845 ,11459 ,4813 ,2889 ,6278 ,11677 ,9376 ,7810 ,8493 ,7922 ,9801 ,8280 ,8793 ,7855 ,6048 ,18475 
20181201,3,11140 ,188959 ,3833 ,1601 ,3195 ,8057 ,8775 ,9740 ,10372 ,8196 ,8671 ,6898 ,6895 ,5588 ,4051 ,7641 ,3934 ,1663 ,3287 ,8391 ,9013 ,9219 ,8669 ,7154 ,7298 ,6172 ,6966 ,6367 ,4578 ,12734 
20181201,3,11170 ,270415 ,6766 ,3374 ,5602 ,9663 ,12618 ,13384 ,13515 ,11366 ,11572 ,8856 ,8789 ,6928 ,5180 ,11470 ,7388 ,3609 ,5802 ,11431 ,13910 ,13127 ,12573 ,10821 ,10432 ,8231 ,9188 ,8604 ,6488 ,19730 
20181201,3,11200 ,340518 ,12081 ,5302 ,7540 ,13430 ,14750 ,13945 ,15724 ,13533 ,13834 ,11351 ,12053 ,9605 ,6823 ,13511 ,11233 ,5039 ,7492 ,14254 ,14472 ,15358 ,15386 ,12412 ,13049 ,11498 ,13067 ,11691 ,8683 ,23400 
